games,summer,team,gold,silver,bronze,total,year,games_team
Montreal 1976,1,Portugal,0,2,0,2,1976,Montreal 1976 | Portugal
Innsbruck 1976,0,Soviet Union,13,6,8,27,1976,Innsbruck 1976 | Soviet Union
Montreal 1976,1,Netherlands,0,2,3,5,1976,Montreal 1976 | Netherlands
Montreal 1976,1,Spain,0,2,0,2,1976,Montreal 1976 | Spain
Montreal 1976,1,Australia,0,1,4,5,1976,Montreal 1976 | Australia
Montreal 1976,1,Finland,4,2,0,6,1976,Montreal 1976 | Finland
Innsbruck 1976,0,Netherlands,1,2,3,6,1976,Innsbruck 1976 | Netherlands
Montreal 1976,1,Puerto Rico,0,0,1,1,1976,Montreal 1976 | Puerto Rico
Montreal 1976,1,Jamaica,1,1,0,2,1976,Montreal 1976 | Jamaica
Montreal 1976,1,Norway,1,1,0,2,1976,Montreal 1976 | Norway
Montreal 1976,1,Democratic People's Republic of Korea,1,1,0,2,1976,Montreal 1976 | Democratic People's Republic of Korea
Montreal 1976,1,Republic of Korea,1,1,4,6,1976,Montreal 1976 | Republic of Korea
Montreal 1976,1,Switzerland,1,1,2,4,1976,Montreal 1976 | Switzerland
Montreal 1976,1,Belgium,0,3,3,6,1976,Montreal 1976 | Belgium
Montreal 1976,1,Sweden,4,1,0,5,1976,Montreal 1976 | Sweden
Montreal 1976,1,Mexico,1,0,1,2,1976,Montreal 1976 | Mexico
Innsbruck 1976,0,Austria,2,2,2,6,1976,Innsbruck 1976 | Austria
Innsbruck 1976,0,Canada,1,1,1,3,1976,Innsbruck 1976 | Canada
Innsbruck 1976,0,Italy,1,2,1,4,1976,Innsbruck 1976 | Italy
Montreal 1976,1,United States of America,34,35,25,94,1976,Montreal 1976 | United States of America
Montreal 1976,1,Soviet Union,49,41,35,125,1976,Montreal 1976 | Soviet Union
Innsbruck 1976,0,Switzerland,1,3,1,5,1976,Innsbruck 1976 | Switzerland
Montreal 1976,1,Bermuda,0,0,1,1,1976,Montreal 1976 | Bermuda
Montreal 1976,1,Austria,0,0,1,1,1976,Montreal 1976 | Austria
Montreal 1976,1,Denmark,1,0,2,3,1976,Montreal 1976 | Denmark
Montreal 1976,1,New Zealand,2,1,1,4,1976,Montreal 1976 | New Zealand
Montreal 1976,1,Thailand,0,0,1,1,1976,Montreal 1976 | Thailand
Innsbruck 1976,0,France,0,0,1,1,1976,Innsbruck 1976 | France
Montreal 1976,1,Pakistan,0,0,1,1,1976,Montreal 1976 | Pakistan
Montreal 1976,1,Romania,4,9,14,27,1976,Montreal 1976 | Romania
Montreal 1976,1,Trinidad and Tobago,1,0,0,1,1976,Montreal 1976 | Trinidad and Tobago
Innsbruck 1976,0,Norway,3,3,1,7,1976,Innsbruck 1976 | Norway
Montreal 1976,1,German Democratic Republic (Germany),40,25,25,90,1976,Montreal 1976 | German Democratic Republic (Germany)
Montreal 1976,1,Islamic Republic of Iran,0,1,1,2,1976,Montreal 1976 | Islamic Republic of Iran
Innsbruck 1976,0,German Democratic Republic (Germany),7,5,7,19,1976,Innsbruck 1976 | German Democratic Republic (Germany)
Montreal 1976,1,France,2,3,4,9,1976,Montreal 1976 | France
Montreal 1976,1,Venezuela,0,1,0,1,1976,Montreal 1976 | Venezuela
Montreal 1976,1,Great Britain,3,5,5,13,1976,Montreal 1976 | Great Britain
Montreal 1976,1,Italy,2,7,4,13,1976,Montreal 1976 | Italy
Montreal 1976,1,Japan,9,6,10,25,1976,Montreal 1976 | Japan
Montreal 1976,1,Hungary,4,5,13,22,1976,Montreal 1976 | Hungary
Montreal 1976,1,Bulgaria,6,9,7,22,1976,Montreal 1976 | Bulgaria
Innsbruck 1976,0,Liechtenstein,0,0,2,2,1976,Innsbruck 1976 | Liechtenstein
Montreal 1976,1,Mongolia,0,1,0,1,1976,Montreal 1976 | Mongolia
Innsbruck 1976,0,Czechoslovakia,0,1,0,1,1976,Innsbruck 1976 | Czechoslovakia
Innsbruck 1976,0,Sweden,0,0,2,2,1976,Innsbruck 1976 | Sweden
Montreal 1976,1,Brazil,0,0,2,2,1976,Montreal 1976 | Brazil
Montreal 1976,1,Czechoslovakia,2,2,4,8,1976,Montreal 1976 | Czechoslovakia
Innsbruck 1976,0,Federal Republic of Germany,2,5,3,10,1976,Innsbruck 1976 | Federal Republic of Germany
Innsbruck 1976,0,United States of America,3,3,4,10,1976,Innsbruck 1976 | United States of America
Montreal 1976,1,Yugoslavia,2,3,3,8,1976,Montreal 1976 | Yugoslavia
Montreal 1976,1,Poland,7,6,13,26,1976,Montreal 1976 | Poland
Innsbruck 1976,0,Finland,2,4,1,7,1976,Innsbruck 1976 | Finland
Montreal 1976,1,Cuba,6,4,3,13,1976,Montreal 1976 | Cuba
Innsbruck 1976,0,Great Britain,1,0,0,1,1976,Innsbruck 1976 | Great Britain
Montreal 1976,1,Canada,0,5,6,11,1976,Montreal 1976 | Canada
Moscow 1980,1,India,1,0,0,1,1980,Moscow 1980 | India
Lake Placid 1980,0,Bulgaria,0,0,1,1,1980,Lake Placid 1980 | Bulgaria
Moscow 1980,1,Sweden,3,3,6,12,1980,Moscow 1980 | Sweden
Moscow 1980,1,Hungary,7,10,15,32,1980,Moscow 1980 | Hungary
Moscow 1980,1,Zimbabwe,1,0,0,1,1980,Moscow 1980 | Zimbabwe
Moscow 1980,1,Democratic People's Republic of Korea,0,3,2,5,1980,Moscow 1980 | Democratic People's Republic of Korea
Lake Placid 1980,0,Sweden,3,0,1,4,1980,Lake Placid 1980 | Sweden
Lake Placid 1980,0,Finland,1,5,3,9,1980,Lake Placid 1980 | Finland
Lake Placid 1980,0,France,0,0,1,1,1980,Lake Placid 1980 | France
Moscow 1980,1,Finland,3,1,4,8,1980,Moscow 1980 | Finland
Lake Placid 1980,0,Soviet Union,10,6,6,22,1980,Lake Placid 1980 | Soviet Union
Lake Placid 1980,0,Japan,0,1,0,1,1980,Lake Placid 1980 | Japan
Lake Placid 1980,0,Czechoslovakia,0,0,1,1,1980,Lake Placid 1980 | Czechoslovakia
Lake Placid 1980,0,Hungary,0,1,0,1,1980,Lake Placid 1980 | Hungary
Moscow 1980,1,Netherlands,0,1,2,3,1980,Moscow 1980 | Netherlands
Lake Placid 1980,0,Federal Republic of Germany,0,2,3,5,1980,Lake Placid 1980 | Federal Republic of Germany
Moscow 1980,1,Belgium,1,0,0,1,1980,Moscow 1980 | Belgium
Moscow 1980,1,Brazil,2,0,2,4,1980,Moscow 1980 | Brazil
Moscow 1980,1,Jamaica,0,0,3,3,1980,Moscow 1980 | Jamaica
Moscow 1980,1,Bulgaria,8,16,17,41,1980,Moscow 1980 | Bulgaria
Lake Placid 1980,0,Liechtenstein,2,2,0,4,1980,Lake Placid 1980 | Liechtenstein
Lake Placid 1980,0,Norway,1,3,6,10,1980,Lake Placid 1980 | Norway
Moscow 1980,1,Soviet Union,80,69,46,195,1980,Moscow 1980 | Soviet Union
Moscow 1980,1,Guyana,0,0,1,1,1980,Moscow 1980 | Guyana
Lake Placid 1980,0,United States of America,6,4,2,12,1980,Lake Placid 1980 | United States of America
Lake Placid 1980,0,Switzerland,1,1,3,5,1980,Lake Placid 1980 | Switzerland
Moscow 1980,1,Denmark,2,1,2,5,1980,Moscow 1980 | Denmark
Moscow 1980,1,Cuba,8,7,5,20,1980,Moscow 1980 | Cuba
Moscow 1980,1,Great Britain,5,7,9,21,1980,Moscow 1980 | Great Britain
Moscow 1980,1,Greece,1,0,2,3,1980,Moscow 1980 | Greece
Lake Placid 1980,0,Great Britain,1,0,0,1,1980,Lake Placid 1980 | Great Britain
Moscow 1980,1,Yugoslavia,2,3,4,9,1980,Moscow 1980 | Yugoslavia
Moscow 1980,1,Australia,2,2,5,9,1980,Moscow 1980 | Australia
Moscow 1980,1,Ethiopia,2,0,2,4,1980,Moscow 1980 | Ethiopia
Moscow 1980,1,Lebanon,0,0,1,1,1980,Moscow 1980 | Lebanon
Moscow 1980,1,Switzerland,2,0,0,2,1980,Moscow 1980 | Switzerland
Moscow 1980,1,Poland,3,14,15,32,1980,Moscow 1980 | Poland
Moscow 1980,1,Austria,1,2,1,4,1980,Moscow 1980 | Austria
Lake Placid 1980,0,German Democratic Republic (Germany),9,7,7,23,1980,Lake Placid 1980 | German Democratic Republic (Germany)
Lake Placid 1980,0,Canada,0,1,1,2,1980,Lake Placid 1980 | Canada
Lake Placid 1980,0,Austria,3,2,2,7,1980,Lake Placid 1980 | Austria
Moscow 1980,1,Italy,8,3,4,15,1980,Moscow 1980 | Italy
Moscow 1980,1,Czechoslovakia,2,3,9,14,1980,Moscow 1980 | Czechoslovakia
Moscow 1980,1,Mongolia,0,2,2,4,1980,Moscow 1980 | Mongolia
Moscow 1980,1,German Democratic Republic (Germany),47,37,42,126,1980,Moscow 1980 | German Democratic Republic (Germany)
Moscow 1980,1,Spain,1,3,2,6,1980,Moscow 1980 | Spain
Moscow 1980,1,Romania,6,6,13,25,1980,Moscow 1980 | Romania
Moscow 1980,1,Ireland,0,1,1,2,1980,Moscow 1980 | Ireland
Moscow 1980,1,Venezuela,0,1,0,1,1980,Moscow 1980 | Venezuela
Moscow 1980,1,France,6,5,3,14,1980,Moscow 1980 | France
Moscow 1980,1,Uganda,0,1,0,1,1980,Moscow 1980 | Uganda
Lake Placid 1980,0,Italy,0,2,0,2,1980,Lake Placid 1980 | Italy
Lake Placid 1980,0,Netherlands,1,2,1,4,1980,Lake Placid 1980 | Netherlands
Moscow 1980,1,United Republic of Tanzania,0,2,0,2,1980,Moscow 1980 | United Republic of Tanzania
Moscow 1980,1,Mexico,0,1,3,4,1980,Moscow 1980 | Mexico
Los Angeles 1984,1,Portugal,1,0,2,3,1984,Los Angeles 1984 | Portugal
Los Angeles 1984,1,Mexico,2,3,1,6,1984,Los Angeles 1984 | Mexico
Los Angeles 1984,1,Dominican Republic,0,0,1,1,1984,Los Angeles 1984 | Dominican Republic
Los Angeles 1984,1,Chinese Taipei,0,0,1,1,1984,Los Angeles 1984 | Chinese Taipei
Los Angeles 1984,1,Ireland,0,1,0,1,1984,Los Angeles 1984 | Ireland
Los Angeles 1984,1,Thailand,0,1,0,1,1984,Los Angeles 1984 | Thailand
Los Angeles 1984,1,Republic of Korea,6,6,7,19,1984,Los Angeles 1984 | Republic of Korea
Los Angeles 1984,1,New Zealand,8,1,2,11,1984,Los Angeles 1984 | New Zealand
Los Angeles 1984,1,United States of America,83,61,30,174,1984,Los Angeles 1984 | United States of America
Sarajevo 1984,0,Canada,2,1,1,4,1984,Sarajevo 1984 | Canada
Sarajevo 1984,0,Federal Republic of Germany,2,1,1,4,1984,Sarajevo 1984 | Federal Republic of Germany
Los Angeles 1984,1,Syrian Arab Republic,0,1,0,1,1984,Los Angeles 1984 | Syrian Arab Republic
Los Angeles 1984,1,Cameroon,0,0,1,1,1984,Los Angeles 1984 | Cameroon
Los Angeles 1984,1,Norway,0,1,2,3,1984,Los Angeles 1984 | Norway
Los Angeles 1984,1,Netherlands,5,2,6,13,1984,Los Angeles 1984 | Netherlands
Los Angeles 1984,1,Romania,20,16,17,53,1984,Los Angeles 1984 | Romania
Los Angeles 1984,1,Turkey,0,0,3,3,1984,Los Angeles 1984 | Turkey
Los Angeles 1984,1,Iceland,0,0,1,1,1984,Los Angeles 1984 | Iceland
Los Angeles 1984,1,Yugoslavia,7,4,7,18,1984,Los Angeles 1984 | Yugoslavia
Los Angeles 1984,1,Zambia,0,0,1,1,1984,Los Angeles 1984 | Zambia
Los Angeles 1984,1,Pakistan,1,0,0,1,1984,Los Angeles 1984 | Pakistan
Los Angeles 1984,1,Federal Republic of Germany,17,19,23,59,1984,Los Angeles 1984 | Federal Republic of Germany
Los Angeles 1984,1,Venezuela,0,0,3,3,1984,Los Angeles 1984 | Venezuela
Los Angeles 1984,1,Côte d'Ivoire,0,1,0,1,1984,Los Angeles 1984 | Côte d'Ivoire
Sarajevo 1984,0,Great Britain,1,0,0,1,1984,Sarajevo 1984 | Great Britain
Los Angeles 1984,1,France,5,7,16,28,1984,Los Angeles 1984 | France
Sarajevo 1984,0,France,0,1,2,3,1984,Sarajevo 1984 | France
Los Angeles 1984,1,Jamaica,0,1,2,3,1984,Los Angeles 1984 | Jamaica
Los Angeles 1984,1,Sweden,2,11,6,19,1984,Los Angeles 1984 | Sweden
Los Angeles 1984,1,Spain,1,2,2,5,1984,Los Angeles 1984 | Spain
Sarajevo 1984,0,Finland,4,3,6,13,1984,Sarajevo 1984 | Finland
Los Angeles 1984,1,Kenya,1,0,2,3,1984,Los Angeles 1984 | Kenya
Los Angeles 1984,1,Egypt,0,1,0,1,1984,Los Angeles 1984 | Egypt
Sarajevo 1984,0,Yugoslavia,0,1,0,1,1984,Sarajevo 1984 | Yugoslavia
Los Angeles 1984,1,Japan,10,8,14,32,1984,Los Angeles 1984 | Japan
Sarajevo 1984,0,Austria,0,0,1,1,1984,Sarajevo 1984 | Austria
Los Angeles 1984,1,Austria,1,1,1,3,1984,Los Angeles 1984 | Austria
Sarajevo 1984,0,Czechoslovakia,0,2,4,6,1984,Sarajevo 1984 | Czechoslovakia
Los Angeles 1984,1,Brazil,1,5,2,8,1984,Los Angeles 1984 | Brazil
Los Angeles 1984,1,Canada,10,18,16,44,1984,Los Angeles 1984 | Canada
Los Angeles 1984,1,Denmark,0,3,3,6,1984,Los Angeles 1984 | Denmark
Sarajevo 1984,0,United States of America,4,4,0,8,1984,Sarajevo 1984 | United States of America
Los Angeles 1984,1,Algeria,0,0,2,2,1984,Los Angeles 1984 | Algeria
Sarajevo 1984,0,Sweden,4,2,2,8,1984,Sarajevo 1984 | Sweden
Sarajevo 1984,0,Liechtenstein,0,0,2,2,1984,Sarajevo 1984 | Liechtenstein
Sarajevo 1984,0,German Democratic Republic (Germany),9,9,6,24,1984,Sarajevo 1984 | German Democratic Republic (Germany)
Sarajevo 1984,0,Japan,0,1,0,1,1984,Sarajevo 1984 | Japan
Los Angeles 1984,1,Finland,4,2,6,12,1984,Los Angeles 1984 | Finland
Los Angeles 1984,1,Australia,4,8,12,24,1984,Los Angeles 1984 | Australia
Los Angeles 1984,1,Belgium,1,1,2,4,1984,Los Angeles 1984 | Belgium
Los Angeles 1984,1,Puerto Rico,0,1,1,2,1984,Los Angeles 1984 | Puerto Rico
Sarajevo 1984,0,Soviet Union,6,10,9,25,1984,Sarajevo 1984 | Soviet Union
Los Angeles 1984,1,People's Republic of China,15,8,9,32,1984,Los Angeles 1984 | People's Republic of China
Sarajevo 1984,0,Norway,3,2,4,9,1984,Sarajevo 1984 | Norway
Sarajevo 1984,0,Italy,2,0,0,2,1984,Sarajevo 1984 | Italy
Los Angeles 1984,1,Greece,0,1,1,2,1984,Los Angeles 1984 | Greece
Sarajevo 1984,0,Switzerland,2,2,1,5,1984,Sarajevo 1984 | Switzerland
Los Angeles 1984,1,Colombia,0,1,0,1,1984,Los Angeles 1984 | Colombia
Los Angeles 1984,1,Switzerland,0,4,4,8,1984,Los Angeles 1984 | Switzerland
Los Angeles 1984,1,Nigeria,0,1,1,2,1984,Los Angeles 1984 | Nigeria
Los Angeles 1984,1,Italy,14,6,12,32,1984,Los Angeles 1984 | Italy
Los Angeles 1984,1,Peru,0,1,0,1,1984,Los Angeles 1984 | Peru
Los Angeles 1984,1,Great Britain,5,11,21,37,1984,Los Angeles 1984 | Great Britain
Los Angeles 1984,1,Morocco,2,0,0,2,1984,Los Angeles 1984 | Morocco
Seoul 1988,1,Suriname,1,0,0,1,1988,Seoul 1988 | Suriname
Seoul 1988,1,Morocco,1,0,2,3,1988,Seoul 1988 | Morocco
Seoul 1988,1,German Democratic Republic (Germany),37,35,30,102,1988,Seoul 1988 | German Democratic Republic (Germany)
Seoul 1988,1,New Zealand,3,2,8,13,1988,Seoul 1988 | New Zealand
Calgary 1988,0,Canada,0,2,3,5,1988,Calgary 1988 | Canada
Calgary 1988,0,Switzerland,5,5,5,15,1988,Calgary 1988 | Switzerland
Seoul 1988,1,Colombia,0,0,1,1,1988,Seoul 1988 | Colombia
Seoul 1988,1,Philippines,0,0,1,1,1988,Seoul 1988 | Philippines
Seoul 1988,1,Finland,1,1,2,4,1988,Seoul 1988 | Finland
Seoul 1988,1,France,6,4,6,16,1988,Seoul 1988 | France
Seoul 1988,1,Italy,6,4,4,14,1988,Seoul 1988 | Italy
Seoul 1988,1,Costa Rica,0,1,0,1,1988,Seoul 1988 | Costa Rica
Seoul 1988,1,Switzerland,0,2,2,4,1988,Seoul 1988 | Switzerland
Seoul 1988,1,Poland,2,5,9,16,1988,Seoul 1988 | Poland
Seoul 1988,1,Federal Republic of Germany,11,14,15,40,1988,Seoul 1988 | Federal Republic of Germany
Seoul 1988,1,Japan,4,3,7,14,1988,Seoul 1988 | Japan
Seoul 1988,1,Peru,0,1,0,1,1988,Seoul 1988 | Peru
Seoul 1988,1,Austria,1,0,0,1,1988,Seoul 1988 | Austria
Seoul 1988,1,Australia,3,6,5,14,1988,Seoul 1988 | Australia
Calgary 1988,0,Japan,0,0,1,1,1988,Calgary 1988 | Japan
Seoul 1988,1,Pakistan,0,0,1,1,1988,Seoul 1988 | Pakistan
Seoul 1988,1,Thailand,0,0,1,1,1988,Seoul 1988 | Thailand
Calgary 1988,0,Yugoslavia,0,2,1,3,1988,Calgary 1988 | Yugoslavia
Calgary 1988,0,Liechtenstein,0,0,1,1,1988,Calgary 1988 | Liechtenstein
Seoul 1988,1,Djibouti,0,0,1,1,1988,Seoul 1988 | Djibouti
Seoul 1988,1,Spain,1,1,2,4,1988,Seoul 1988 | Spain
Seoul 1988,1,Greece,0,0,1,1,1988,Seoul 1988 | Greece
Seoul 1988,1,Yugoslavia,3,4,5,12,1988,Seoul 1988 | Yugoslavia
Seoul 1988,1,Portugal,1,0,0,1,1988,Seoul 1988 | Portugal
Seoul 1988,1,Denmark,2,1,1,4,1988,Seoul 1988 | Denmark
Seoul 1988,1,Mongolia,0,0,1,1,1988,Seoul 1988 | Mongolia
Seoul 1988,1,Jamaica,0,2,0,2,1988,Seoul 1988 | Jamaica
Seoul 1988,1,Netherlands Antilles,0,1,0,1,1988,Seoul 1988 | Netherlands Antilles
Seoul 1988,1,Republic of Korea,12,10,11,33,1988,Seoul 1988 | Republic of Korea
Seoul 1988,1,Norway,2,3,0,5,1988,Seoul 1988 | Norway
Seoul 1988,1,Netherlands,2,2,5,9,1988,Seoul 1988 | Netherlands
Seoul 1988,1,Belgium,0,0,2,2,1988,Seoul 1988 | Belgium
Seoul 1988,1,Mexico,0,0,2,2,1988,Seoul 1988 | Mexico
Seoul 1988,1,United States of America,36,31,27,94,1988,Seoul 1988 | United States of America
Seoul 1988,1,Czechoslovakia,3,3,2,8,1988,Seoul 1988 | Czechoslovakia
Calgary 1988,0,Federal Republic of Germany,2,4,2,8,1988,Calgary 1988 | Federal Republic of Germany
Seoul 1988,1,Indonesia,0,1,0,1,1988,Seoul 1988 | Indonesia
Seoul 1988,1,Brazil,1,2,3,6,1988,Seoul 1988 | Brazil
Seoul 1988,1,Hungary,11,6,6,23,1988,Seoul 1988 | Hungary
Calgary 1988,0,Italy,2,1,2,5,1988,Calgary 1988 | Italy
Seoul 1988,1,Turkey,1,1,0,2,1988,Seoul 1988 | Turkey
Seoul 1988,1,Romania,7,11,6,24,1988,Seoul 1988 | Romania
Calgary 1988,0,Soviet Union,11,9,9,29,1988,Calgary 1988 | Soviet Union
Calgary 1988,0,United States of America,2,1,3,6,1988,Calgary 1988 | United States of America
Seoul 1988,1,Soviet Union,55,31,46,132,1988,Seoul 1988 | Soviet Union
Seoul 1988,1,Argentina,0,1,1,2,1988,Seoul 1988 | Argentina
Calgary 1988,0,France,1,0,1,2,1988,Calgary 1988 | France
Calgary 1988,0,Finland,4,1,2,7,1988,Calgary 1988 | Finland
Calgary 1988,0,German Democratic Republic (Germany),9,10,6,25,1988,Calgary 1988 | German Democratic Republic (Germany)
Calgary 1988,0,Netherlands,3,2,2,7,1988,Calgary 1988 | Netherlands
Seoul 1988,1,People's Republic of China,5,11,12,28,1988,Seoul 1988 | People's Republic of China
Calgary 1988,0,Sweden,4,0,2,6,1988,Calgary 1988 | Sweden
Seoul 1988,1,Great Britain,5,10,9,24,1988,Seoul 1988 | Great Britain
Seoul 1988,1,Kenya,5,2,2,9,1988,Seoul 1988 | Kenya
Calgary 1988,0,Norway,0,3,2,5,1988,Calgary 1988 | Norway
Seoul 1988,1,Bulgaria,10,12,13,35,1988,Seoul 1988 | Bulgaria
Seoul 1988,1,"Virgin Islands, US",0,1,0,1,1988,"Seoul 1988 | Virgin Islands, US"
Seoul 1988,1,Canada,3,2,5,10,1988,Seoul 1988 | Canada
Calgary 1988,0,Czechoslovakia,0,1,2,3,1988,Calgary 1988 | Czechoslovakia
Seoul 1988,1,Senegal,0,1,0,1,1988,Seoul 1988 | Senegal
Calgary 1988,0,Austria,3,5,2,10,1988,Calgary 1988 | Austria
Seoul 1988,1,Chile,0,1,0,1,1988,Seoul 1988 | Chile
Seoul 1988,1,Sweden,0,4,7,11,1988,Seoul 1988 | Sweden
Seoul 1988,1,Islamic Republic of Iran,0,1,0,1,1988,Seoul 1988 | Islamic Republic of Iran
Barcelona 1992,1,Turkey,2,2,2,6,1992,Barcelona 1992 | Turkey
Albertville 1992,0,Sweden,1,0,3,4,1992,Albertville 1992 | Sweden
Barcelona 1992,1,Pakistan,0,0,1,1,1992,Barcelona 1992 | Pakistan
Barcelona 1992,1,Suriname,0,0,1,1,1992,Barcelona 1992 | Suriname
Albertville 1992,0,Democratic People's Republic of Korea,0,0,1,1,1992,Albertville 1992 | Democratic People's Republic of Korea
Barcelona 1992,1,People's Republic of China,16,22,16,54,1992,Barcelona 1992 | People's Republic of China
Barcelona 1992,1,Estonia,1,0,1,2,1992,Barcelona 1992 | Estonia
Albertville 1992,0,Spain,0,0,1,1,1992,Albertville 1992 | Spain
Barcelona 1992,1,Algeria,1,0,1,2,1992,Barcelona 1992 | Algeria
Barcelona 1992,1,France,8,5,16,29,1992,Barcelona 1992 | France
Barcelona 1992,1,Islamic Republic of Iran,0,1,2,3,1992,Barcelona 1992 | Islamic Republic of Iran
Barcelona 1992,1,Belgium,0,1,2,3,1992,Barcelona 1992 | Belgium
Albertville 1992,0,Netherlands,1,1,2,4,1992,Albertville 1992 | Netherlands
Barcelona 1992,1,Lithuania,1,0,1,2,1992,Barcelona 1992 | Lithuania
Barcelona 1992,1,Bulgaria,3,7,6,16,1992,Barcelona 1992 | Bulgaria
Barcelona 1992,1,Czechoslovakia,4,2,1,7,1992,Barcelona 1992 | Czechoslovakia
Barcelona 1992,1,Argentina,0,0,1,1,1992,Barcelona 1992 | Argentina
Barcelona 1992,1,United States of America,37,34,37,108,1992,Barcelona 1992 | United States of America
Barcelona 1992,1,Philippines,0,0,1,1,1992,Barcelona 1992 | Philippines
Barcelona 1992,1,South Africa,0,2,0,2,1992,Barcelona 1992 | South Africa
Barcelona 1992,1,Brazil,2,1,0,3,1992,Barcelona 1992 | Brazil
Albertville 1992,0,Japan,1,2,4,7,1992,Albertville 1992 | Japan
Barcelona 1992,1,Austria,0,2,0,2,1992,Barcelona 1992 | Austria
Barcelona 1992,1,Netherlands,2,6,7,15,1992,Barcelona 1992 | Netherlands
Barcelona 1992,1,Australia,7,9,11,27,1992,Barcelona 1992 | Australia
Barcelona 1992,1,Bahamas,0,0,1,1,1992,Barcelona 1992 | Bahamas
Barcelona 1992,1,Namibia,0,2,0,2,1992,Barcelona 1992 | Namibia
Barcelona 1992,1,Colombia,0,0,1,1,1992,Barcelona 1992 | Colombia
Albertville 1992,0,Germany,10,10,6,26,1992,Albertville 1992 | Germany
Albertville 1992,0,Italy,4,6,4,14,1992,Albertville 1992 | Italy
Barcelona 1992,1,Romania,4,6,8,18,1992,Barcelona 1992 | Romania
Barcelona 1992,1,Thailand,0,0,1,1,1992,Barcelona 1992 | Thailand
Barcelona 1992,1,Ghana,0,0,1,1,1992,Barcelona 1992 | Ghana
Albertville 1992,0,Canada,2,3,2,7,1992,Albertville 1992 | Canada
Barcelona 1992,1,Norway,2,4,1,7,1992,Barcelona 1992 | Norway
Albertville 1992,0,Finland,3,1,3,7,1992,Albertville 1992 | Finland
Barcelona 1992,1,Nigeria,0,3,1,4,1992,Barcelona 1992 | Nigeria
Barcelona 1992,1,Jamaica,0,3,1,4,1992,Barcelona 1992 | Jamaica
Barcelona 1992,1,Puerto Rico,0,0,1,1,1992,Barcelona 1992 | Puerto Rico
Barcelona 1992,1,Malaysia,0,0,1,1,1992,Barcelona 1992 | Malaysia
Barcelona 1992,1,Croatia,0,1,2,3,1992,Barcelona 1992 | Croatia
Barcelona 1992,1,Qatar,0,0,1,1,1992,Barcelona 1992 | Qatar
Barcelona 1992,1,Israel,0,1,1,2,1992,Barcelona 1992 | Israel
Barcelona 1992,1,Greece,2,0,0,2,1992,Barcelona 1992 | Greece
Albertville 1992,0,United States of America,5,4,2,11,1992,Albertville 1992 | United States of America
Barcelona 1992,1,Sweden,1,7,4,12,1992,Barcelona 1992 | Sweden
Albertville 1992,0,Austria,6,7,8,21,1992,Albertville 1992 | Austria
Barcelona 1992,1,Indonesia,2,2,1,5,1992,Barcelona 1992 | Indonesia
Albertville 1992,0,Norway,9,6,5,20,1992,Albertville 1992 | Norway
Albertville 1992,0,Republic of Korea,2,1,1,4,1992,Albertville 1992 | Republic of Korea
Barcelona 1992,1,Switzerland,1,0,0,1,1992,Barcelona 1992 | Switzerland
Barcelona 1992,1,Great Britain,5,3,12,20,1992,Barcelona 1992 | Great Britain
Barcelona 1992,1,Germany,33,21,28,82,1992,Barcelona 1992 | Germany
Albertville 1992,0,France,3,5,1,9,1992,Albertville 1992 | France
Barcelona 1992,1,Chinese Taipei,0,1,0,1,1992,Barcelona 1992 | Chinese Taipei
Barcelona 1992,1,Democratic People's Republic of Korea,4,0,5,9,1992,Barcelona 1992 | Democratic People's Republic of Korea
Barcelona 1992,1,Italy,6,5,8,19,1992,Barcelona 1992 | Italy
Barcelona 1992,1,Poland,3,6,10,19,1992,Barcelona 1992 | Poland
Barcelona 1992,1,Mexico,0,1,0,1,1992,Barcelona 1992 | Mexico
Barcelona 1992,1,New Zealand,1,4,5,10,1992,Barcelona 1992 | New Zealand
Barcelona 1992,1,Peru,0,1,0,1,1992,Barcelona 1992 | Peru
Albertville 1992,0,Switzerland,1,0,2,3,1992,Albertville 1992 | Switzerland
Barcelona 1992,1,Ethiopia,1,0,2,3,1992,Barcelona 1992 | Ethiopia
Barcelona 1992,1,Independent Olympic Athletes,0,1,2,3,1992,Barcelona 1992 | Independent Olympic Athletes
Barcelona 1992,1,Finland,1,2,2,5,1992,Barcelona 1992 | Finland
Barcelona 1992,1,Kenya,2,4,2,8,1992,Barcelona 1992 | Kenya
Barcelona 1992,1,Denmark,1,1,4,6,1992,Barcelona 1992 | Denmark
Barcelona 1992,1,Ireland,1,1,0,2,1992,Barcelona 1992 | Ireland
Albertville 1992,0,Unified Team,9,6,8,23,1992,Albertville 1992 | Unified Team
Barcelona 1992,1,Spain,13,7,2,22,1992,Barcelona 1992 | Spain
Barcelona 1992,1,Canada,7,4,7,18,1992,Barcelona 1992 | Canada
Barcelona 1992,1,Japan,3,8,11,22,1992,Barcelona 1992 | Japan
Barcelona 1992,1,Republic of Korea,12,5,12,29,1992,Barcelona 1992 | Republic of Korea
Albertville 1992,0,New Zealand,0,1,0,1,1992,Albertville 1992 | New Zealand
Barcelona 1992,1,Unified Team,45,38,29,112,1992,Barcelona 1992 | Unified Team
Barcelona 1992,1,Latvia,0,2,1,3,1992,Barcelona 1992 | Latvia
Barcelona 1992,1,Hungary,11,12,7,30,1992,Barcelona 1992 | Hungary
Albertville 1992,0,Czechoslovakia,0,0,3,3,1992,Albertville 1992 | Czechoslovakia
