games,summer,team,gold,silver,bronze,total,year,games_team
Paris 1924,1,Norway,5,2,3,10,1924,Paris 1924 | Norway
Chamonix 1924,0,United States of America,1,2,1,4,1924,Chamonix 1924 | United States of America
Paris 1924,1,Denmark,2,6,3,11,1924,Paris 1924 | Denmark
Paris 1924,1,Netherlands,4,1,6,11,1924,Paris 1924 | Netherlands
Chamonix 1924,0,Great Britain,1,1,2,4,1924,Chamonix 1924 | Great Britain
Paris 1924,1,Great Britain,9,14,12,35,1924,Paris 1924 | Great Britain
Chamonix 1924,0,Finland,4,4,3,11,1924,Chamonix 1924 | Finland
Chamonix 1924,0,Norway,4,7,6,17,1924,Chamonix 1924 | Norway
Paris 1924,1,Italy,8,3,5,16,1924,Paris 1924 | Italy
Paris 1924,1,Belgium,3,7,3,13,1924,Paris 1924 | Belgium
Paris 1924,1,Canada,0,3,1,4,1924,Paris 1924 | Canada
Paris 1924,1,Austria,0,3,1,4,1924,Paris 1924 | Austria
Chamonix 1924,0,Switzerland,2,0,1,3,1924,Chamonix 1924 | Switzerland
Chamonix 1924,0,Austria,2,1,0,3,1924,Chamonix 1924 | Austria
Paris 1924,1,South Africa,1,1,1,3,1924,Paris 1924 | South Africa
Paris 1924,1,Portugal,0,0,1,1,1924,Paris 1924 | Portugal
Paris 1924,1,Poland,0,1,1,2,1924,Paris 1924 | Poland
Paris 1924,1,Finland,14,13,10,37,1924,Paris 1924 | Finland
Paris 1924,1,United States of America,45,27,27,99,1924,Paris 1924 | United States of America
Paris 1924,1,New Zealand,0,0,1,1,1924,Paris 1924 | New Zealand
Paris 1924,1,Haiti,0,0,1,1,1924,Paris 1924 | Haiti
Paris 1924,1,Ireland,0,1,1,2,1924,Paris 1924 | Ireland
Paris 1924,1,Monaco,0,0,1,1,1924,Paris 1924 | Monaco
Chamonix 1924,0,France,0,0,3,3,1924,Chamonix 1924 | France
Paris 1924,1,Romania,0,0,1,1,1924,Paris 1924 | Romania
St. Moritz 1928,0,Belgium,0,0,1,1,1928,St. Moritz 1928 | Belgium
Amsterdam 1928,1,Philippines,0,0,1,1,1928,Amsterdam 1928 | Philippines
Amsterdam 1928,1,Uruguay,1,0,0,1,1928,Amsterdam 1928 | Uruguay
St. Moritz 1928,0,Norway,6,4,5,15,1928,St. Moritz 1928 | Norway
Amsterdam 1928,1,Portugal,0,0,1,1,1928,Amsterdam 1928 | Portugal
St. Moritz 1928,0,Germany,0,0,1,1,1928,St. Moritz 1928 | Germany
Amsterdam 1928,1,Argentina,3,3,1,7,1928,Amsterdam 1928 | Argentina
Amsterdam 1928,1,Italy,7,6,7,20,1928,Amsterdam 1928 | Italy
St. Moritz 1928,0,Great Britain,0,0,1,1,1928,St. Moritz 1928 | Great Britain
Amsterdam 1928,1,Finland,8,8,9,25,1928,Amsterdam 1928 | Finland
Amsterdam 1928,1,Chile,0,1,0,1,1928,Amsterdam 1928 | Chile
Amsterdam 1928,1,New Zealand,1,0,0,1,1928,Amsterdam 1928 | New Zealand
Amsterdam 1928,1,Haiti,0,1,0,1,1928,Amsterdam 1928 | Haiti
Amsterdam 1928,1,Great Britain,4,11,7,22,1928,Amsterdam 1928 | Great Britain
Amsterdam 1928,1,India,1,0,0,1,1928,Amsterdam 1928 | India
Amsterdam 1928,1,Switzerland,7,6,4,17,1928,Amsterdam 1928 | Switzerland
Amsterdam 1928,1,Sweden,7,6,12,25,1928,Amsterdam 1928 | Sweden
St. Moritz 1928,0,Switzerland,0,0,1,1,1928,St. Moritz 1928 | Switzerland
Amsterdam 1928,1,Denmark,3,2,4,9,1928,Amsterdam 1928 | Denmark
Amsterdam 1928,1,Spain,1,0,0,1,1928,Amsterdam 1928 | Spain
Amsterdam 1928,1,Luxembourg,1,0,0,1,1928,Amsterdam 1928 | Luxembourg
St. Moritz 1928,0,Czechoslovakia,0,0,1,1,1928,St. Moritz 1928 | Czechoslovakia
Amsterdam 1928,1,Netherlands,8,10,5,23,1928,Amsterdam 1928 | Netherlands
Amsterdam 1928,1,Hungary,5,5,0,10,1928,Amsterdam 1928 | Hungary
Amsterdam 1928,1,Czechoslovakia,2,5,2,9,1928,Amsterdam 1928 | Czechoslovakia
Amsterdam 1928,1,Ireland,1,0,0,1,1928,Amsterdam 1928 | Ireland
St. Moritz 1928,0,Canada,1,0,0,1,1928,St. Moritz 1928 | Canada
Amsterdam 1928,1,France,7,12,6,25,1928,Amsterdam 1928 | France
St. Moritz 1928,0,France,1,0,0,1,1928,St. Moritz 1928 | France
Amsterdam 1928,1,Canada,4,4,7,15,1928,Amsterdam 1928 | Canada
Amsterdam 1928,1,Japan,2,2,1,5,1928,Amsterdam 1928 | Japan
Amsterdam 1928,1,Belgium,0,1,2,3,1928,Amsterdam 1928 | Belgium
Amsterdam 1928,1,South Africa,1,0,2,3,1928,Amsterdam 1928 | South Africa
Amsterdam 1928,1,Germany,11,9,19,39,1928,Amsterdam 1928 | Germany
Amsterdam 1928,1,Poland,2,1,4,7,1928,Amsterdam 1928 | Poland
Amsterdam 1928,1,Austria,3,0,1,4,1928,Amsterdam 1928 | Austria
Amsterdam 1928,1,Egypt,2,1,1,4,1928,Amsterdam 1928 | Egypt
Amsterdam 1928,1,United States of America,22,18,16,56,1928,Amsterdam 1928 | United States of America
St. Moritz 1928,0,United States of America,2,2,2,6,1928,St. Moritz 1928 | United States of America
Amsterdam 1928,1,Yugoslavia,1,1,3,5,1928,Amsterdam 1928 | Yugoslavia
St. Moritz 1928,0,Finland,2,1,1,4,1928,St. Moritz 1928 | Finland
Amsterdam 1928,1,Australia,1,2,1,4,1928,Amsterdam 1928 | Australia
St. Moritz 1928,0,Austria,0,3,1,4,1928,St. Moritz 1928 | Austria
Amsterdam 1928,1,Estonia,2,1,2,5,1928,Amsterdam 1928 | Estonia
Amsterdam 1928,1,Norway,1,2,1,4,1928,Amsterdam 1928 | Norway
St. Moritz 1928,0,Sweden,2,2,1,5,1928,St. Moritz 1928 | Sweden
Los Angeles 1932,1,India,1,0,0,1,1932,Los Angeles 1932 | India
Los Angeles 1932,1,Poland,3,2,4,9,1932,Los Angeles 1932 | Poland
Los Angeles 1932,1,Argentina,3,1,0,4,1932,Los Angeles 1932 | Argentina
Lake Placid 1932,0,France,1,0,0,1,1932,Lake Placid 1932 | France
Los Angeles 1932,1,Netherlands,2,5,1,8,1932,Los Angeles 1932 | Netherlands
Los Angeles 1932,1,Italy,12,12,12,36,1932,Los Angeles 1932 | Italy
Los Angeles 1932,1,Spain,0,0,1,1,1932,Los Angeles 1932 | Spain
Los Angeles 1932,1,Czechoslovakia,1,3,2,6,1932,Los Angeles 1932 | Czechoslovakia
Los Angeles 1932,1,Austria,1,1,3,5,1932,Los Angeles 1932 | Austria
Los Angeles 1932,1,Uruguay,0,0,1,1,1932,Los Angeles 1932 | Uruguay
Los Angeles 1932,1,Belgium,0,0,1,1,1932,Los Angeles 1932 | Belgium
Lake Placid 1932,0,Hungary,0,0,1,1,1932,Lake Placid 1932 | Hungary
Los Angeles 1932,1,Ireland,2,0,0,2,1932,Los Angeles 1932 | Ireland
Los Angeles 1932,1,South Africa,2,0,3,5,1932,Los Angeles 1932 | South Africa
Lake Placid 1932,0,Austria,1,1,0,2,1932,Lake Placid 1932 | Austria
Los Angeles 1932,1,Australia,3,1,1,5,1932,Los Angeles 1932 | Australia
Los Angeles 1932,1,United States of America,44,36,30,110,1932,Los Angeles 1932 | United States of America
Los Angeles 1932,1,France,11,5,4,20,1932,Los Angeles 1932 | France
Los Angeles 1932,1,Philippines,0,0,3,3,1932,Los Angeles 1932 | Philippines
Lake Placid 1932,0,Norway,3,4,3,10,1932,Lake Placid 1932 | Norway
Los Angeles 1932,1,Finland,5,8,12,25,1932,Los Angeles 1932 | Finland
Los Angeles 1932,1,New Zealand,0,1,0,1,1932,Los Angeles 1932 | New Zealand
Los Angeles 1932,1,Canada,2,5,9,16,1932,Los Angeles 1932 | Canada
Los Angeles 1932,1,Hungary,6,5,5,16,1932,Los Angeles 1932 | Hungary
Lake Placid 1932,0,Canada,1,1,5,7,1932,Lake Placid 1932 | Canada
Los Angeles 1932,1,Switzerland,0,1,0,1,1932,Los Angeles 1932 | Switzerland
Lake Placid 1932,0,United States of America,6,4,2,12,1932,Lake Placid 1932 | United States of America
Los Angeles 1932,1,Denmark,0,5,3,8,1932,Los Angeles 1932 | Denmark
Los Angeles 1932,1,Latvia,0,1,0,1,1932,Los Angeles 1932 | Latvia
Lake Placid 1932,0,Switzerland,0,1,0,1,1932,Lake Placid 1932 | Switzerland
Los Angeles 1932,1,Mexico,0,2,0,2,1932,Los Angeles 1932 | Mexico
Lake Placid 1932,0,Sweden,1,2,0,3,1932,Lake Placid 1932 | Sweden
Los Angeles 1932,1,Japan,7,7,4,18,1932,Los Angeles 1932 | Japan
Los Angeles 1932,1,Germany,5,12,7,24,1932,Los Angeles 1932 | Germany
Los Angeles 1932,1,Great Britain,5,7,5,17,1932,Los Angeles 1932 | Great Britain
Lake Placid 1932,0,Germany,0,0,2,2,1932,Lake Placid 1932 | Germany
Lake Placid 1932,0,Finland,1,1,1,3,1932,Lake Placid 1932 | Finland
Los Angeles 1932,1,Sweden,10,5,9,24,1932,Los Angeles 1932 | Sweden
Berlin 1936,1,Austria,5,7,5,17,1936,Berlin 1936 | Austria
Garmisch-Partenkirchen 1936,0,Norway,7,5,3,15,1936,Garmisch-Partenkirchen 1936 | Norway
Berlin 1936,1,Yugoslavia,0,1,0,1,1936,Berlin 1936 | Yugoslavia
Garmisch-Partenkirchen 1936,0,United States of America,1,0,3,4,1936,Garmisch-Partenkirchen 1936 | United States of America
Garmisch-Partenkirchen 1936,0,Austria,1,1,2,4,1936,Garmisch-Partenkirchen 1936 | Austria
Berlin 1936,1,Finland,8,6,6,20,1936,Berlin 1936 | Finland
Berlin 1936,1,Egypt,2,1,2,5,1936,Berlin 1936 | Egypt
Berlin 1936,1,Romania,0,1,0,1,1936,Berlin 1936 | Romania
Berlin 1936,1,India,1,0,0,1,1936,Berlin 1936 | India
Berlin 1936,1,United States of America,24,21,12,57,1936,Berlin 1936 | United States of America
Berlin 1936,1,Japan,6,4,10,20,1936,Berlin 1936 | Japan
Berlin 1936,1,Hungary,10,1,5,16,1936,Berlin 1936 | Hungary
Garmisch-Partenkirchen 1936,0,Canada,0,1,0,1,1936,Garmisch-Partenkirchen 1936 | Canada
Berlin 1936,1,Czechoslovakia,3,5,1,9,1936,Berlin 1936 | Czechoslovakia
Berlin 1936,1,New Zealand,1,0,0,1,1936,Berlin 1936 | New Zealand
Garmisch-Partenkirchen 1936,0,Great Britain,1,1,1,3,1936,Garmisch-Partenkirchen 1936 | Great Britain
Berlin 1936,1,Netherlands,6,4,7,17,1936,Berlin 1936 | Netherlands
Berlin 1936,1,Belgium,0,0,3,3,1936,Berlin 1936 | Belgium
Berlin 1936,1,Switzerland,4,9,5,18,1936,Berlin 1936 | Switzerland
Berlin 1936,1,Mexico,0,0,3,3,1936,Berlin 1936 | Mexico
