,games_country_sport,Name,Athlete,name_partial_ratio,Event_results,Event_stripped,event_token_sort_ratio
5532,2008 Summer_North Korea_Shooting,Jo Yong-Suk,Kim Jong-su,67,"Shooting Women's Sporting Pistol, 25 metres","Shooting, Men's 50 m air pistol",42
5533,2008 Summer_North Korea_Shooting,Jo Yong-Suk,Kim Jong-su,67,"Shooting Women's Sporting Pistol, 25 metres","Shooting, Men's 10 m air pistol",42
5269,2008 Summer_Armenia_Weightlifting,Edgar Gevorgyan,Tigran Gevorg Martirosyan,67,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 69 kg",41
5067,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 15 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",40
3481,2000 Summer_Romania_Gymnastics,Andreea Mdlina Rducan,Andreea Răducan,67,Gymnastics Women's Horse Vault,"Gymnastics, Women's artistic individual all-around",39
3482,2000 Summer_Romania_Gymnastics,Andreea Mdlina Rducan,Andreea Răducan,67,Gymnastics Women's Uneven Bars,"Gymnastics, Women's artistic individual all-around",39
3297,1992 Summer_Unified Team_Weightlifting,Ibragim Berkmanovich Samadov,Ibragim Samadov,67,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 82.5 kg (X, Z)",36
5076,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 15 km freestyle mass start",36
5061,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 15 km freestyle mass start",35
5065,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 15 kilometres,"Cross-Country Skiing, Women's 30 km classical",34
5075,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 30 km classical",33
5062,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",32
5071,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 15 km freestyle mass start",32
5072,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",32
2522,2000 Summer_United States_Athletics,Lawrence Clayton Johnson,Marion Jones,67,Athletics Men's Pole Vault,"Athletics, Women's 100 m (X)",26
2523,2000 Summer_United States_Athletics,Lawrence Clayton Johnson,Marion Jones,67,Athletics Men's Pole Vault,"Athletics, Women's 200 m",21
2524,2000 Summer_United States_Athletics,Lawrence Clayton Johnson,Marion Jones,67,Athletics Men's Pole Vault,"Athletics, Women's long jump",18
